A1BG	559	324	524	814	159	115	112	183	88	96	1766
NAT2	3	3	0	0	2	7	13	7	13	8	1317
ADA	8200	7758	7685	11375	3427	224	175	201	213	143	1532
CDH2	2102	2081	1870	2585	1430	1693	1436	1531	2370	1054	4367
AKT3	240	213	188	213	262	696	561	611	902	600	3856
GAGE12F	35	51	33	46	5	0	0	0	0	0	354
RNA5-8S5	0	0	0	0	0	0	0	0	0	0	156
RNA18S5	0	0	0	0	0	0	0	0	0	0	1869
RNA28S5	0	0	0	0	0	0	0	0	0	0	5070
ANO1-AS2	0	6	2	23	3	0	0	0	3	0	1006
LOC100009676	118	97	106	129	53	42	29	27	54	38	2788
MED6	994	901	739	1086	452	393	407	372	689	252	1344
NR2E3	7	20	10	21	5	22	32	22	20	13	2811
NAALAD2	169	142	96	135	92	195	168	146	264	110	3196
SNORD116-1	1	0	1	1	2	17	40	35	33	24	94
SNORD116-2	4	0	1	1	2	63	101	69	96	79	97
SNORD116-3	7	0	0	2	0	26	62	47	54	47	97
SNORD116-4	9	10	0	1	1	3	3	0	2	7	98
SNORD116-5	3	0	0	1	0	23	27	19	24	20	97
SNORD116-6	0	1	0	4	1	30	18	17	26	12	98
SNORD116-7	5	2	0	1	2	2	2	0	0	5	97
SNORD116-8	0	0	2	0	0	6	33	5	17	4	97
SNORD116-9	0	0	1	0	0	4	6	2	7	9	97
SNORD116-10	0	0	0	0	0	0	0	0	0	0	104
SNORD116-11	1	0	0	3	2	2	0	5	11	3	94
SNORD116-12	0	0	0	0	0	3	1	4	0	2	94
SNORD116-13	0	0	0	0	0	2	0	0	0	4	94
SNORD116-14	0	1	0	2	2	4	1	12	1	3	94
SNORD116-15	0	0	0	1	3	7	20	19	12	14	94
SNORD116-16	0	2	0	0	2	4	0	0	3	3	94
SNORD116-17	0	0	6	0	0	4	0	0	2	0	94
SNORD116-18	0	0	1	0	2	0	0	0	0	1	94
SNORD116-20	2	0	0	1	1	4	2	0	2	1	94
SNORD116-21	0	0	0	2	3	6	7	5	4	4	94
SNORD116-22	0	1	0	2	1	4	1	4	4	8	94
SNORD116-23	0	2	0	0	0	0	0	6	3	2	94
SNORD116-24	0	0	0	0	2	0	0	0	2	1	94
SNORD116-25	0	0	0	0	0	1	0	3	8	5	94
SNORD115-2	0	0	0	1	0	163	176	133	287	201	82
SNORD116-26	2	0	1	3	1	2	6	9	11	0	98
SNORD116-27	19	2	0	1	0	6	10	4	24	4	94
SNORD115-3	0	0	0	0	1	23	32	33	72	24	82
SNORD115-4	0	0	0	0	0	141	130	87	181	103	82
SNORD115-5	4	0	0	3	0	910	868	612	1318	577	82
SNORD115-6	4	2	0	2	2	204	260	124	303	176	82
SNORD115-7	0	0	0	0	0	0	2	1	0	0	82
SNORD115-8	0	0	0	0	3	106	90	54	107	56	82
SNORD115-9	0	0	0	0	0	112	132	75	160	299	82
SNORD115-10	0	0	0	4	4	1018	1369	818	1855	1169	81
SNORD115-11	0	0	0	0	0	18	50	39	65	49	82
SNORD115-12	1	0	0	1	1	332	448	251	618	393	82
SNORD115-13	0	0	0	0	0	0	4	0	1	4	82
SNORD115-14	2	1	1	0	0	823	954	396	1232	363	81
SNORD115-15	5	0	0	0	1	1400	1729	917	2021	1314	81
SNORD115-16	0	0	0	0	0	19	18	15	22	18	82
SNORD115-17	1	0	2	4	0	192	335	192	402	326	82
SNORD115-18	0	0	0	0	0	57	42	23	86	41	82
SNORD115-19	0	0	0	0	0	0	1	4	2	4	82
SNORD115-20	0	1	0	0	0	8	6	1	9	22	82
SNORD115-21	0	0	0	2	0	115	140	61	136	123	81
SNORD115-22	0	0	0	0	0	110	151	119	128	116	82
SNORD115-23	0	0	0	0	0	0	0	0	0	0	82
SNORD115-25	0	0	0	0	0	5	0	2	0	1	82
SNORD115-26	0	0	0	0	0	44	39	27	53	69	82
SNORD115-29	0	0	0	0	0	229	219	149	241	104	82
SNORD115-30	2	0	0	1	0	102	137	97	190	93	82
SNORD115-31	1	0	0	0	0	5	11	3	16	8	82
SNORD115-32	0	0	0	2	0	329	468	318	574	361	82
SNORD115-33	0	0	0	0	0	148	142	115	183	121	82
SNORD115-34	1	2	2	2	3	865	880	606	1168	632	82
SNORD115-35	0	0	0	0	2	7	15	18	5	9	82
SNORD115-36	0	0	0	0	0	0	0	2	0	0	82
SNORD115-37	0	0	0	0	0	3	0	0	6	1	82
